,Län,Län code,year,Electricity produced - Mwh,Heat produced _mwh,Kommun code,Municipal waste - tons,Total waste used - tons,Total energy produced - Mwh,Year,Population,Energy per inhabitant - Mwh,Total energy produced - thousands Mwh
0,Stockholm,1.0,2021.0,955720.0,4537940.0,691.0,673070.0,1564880.0,5493660.0,2021,2415139.0,2.2746765300051055,5493.66
1,Västmanland,19.0,2021.0,530520.0,1913170.0,3963.0,176340.0,665720.0,2443690.0,2021,278967.0,8.759781622915972,2443.69
2,Östergötland,5.0,2019.0,394460.0,2349720.0,1723.0,181180.0,1007360.0,2744180.0,2019,465495.0,5.895186844112182,2744.18
3,Östergötland,5.0,2021.0,380100.0,2398290.0,1723.0,218340.0,980330.0,2778390.0,2021,469704.0,5.915193398395585,2778.39
4,Stockholm,1.0,2019.0,362040.0,2456820.0,510.0,569880.0,909170.0,2818860.0,2019,2377081.0,1.1858493673543309,2818.86
5,Skåne,12.0,2021.0,352560.0,2118320.0,3856.0,323450.0,860300.0,2470880.0,2021,1402425.0,1.7618624881900993,2470.88
6,Västra Götaland,14.0,2021.0,337590.0,2591620.0,7445.0,341500.0,932540.0,2929210.0,2021,1744859.0,1.6787660206354782,2929.21
7,Västra Götaland,14.0,2019.0,337450.0,2623510.0,7445.0,367530.0,932040.0,2960960.0,2019,1725881.0,1.7156223401265789,2960.96
8,Skåne,12.0,2019.0,303490.0,2085600.0,3856.0,291190.0,813620.0,2389090.0,2019,1377827.0,1.7339549885435543,2389.09
9,Västmanland,19.0,2019.0,289360.0,1071260.0,3963.0,153920.0,399080.0,1360620.0,2019,275845.0,4.932552701698418,1360.62
10,Jönköping,6.0,2019.0,127740.0,540230.0,1366.0,56450.0,205080.0,667970.0,2019,363599.0,1.837106262668489,667.97
11,Jönköping,6.0,2021.0,122470.0,574170.0,1366.0,54070.0,205260.0,696640.0,2021,367064.0,1.897870671054639,696.64
12,Västerbotten,24.0,2019.0,84420.0,380590.0,2480.0,77450.0,157190.0,465010.0,2019,271736.0,1.7112565136750375,465.01
13,Norrbotten,25.0,2021.0,80600.0,485560.0,5166.0,54080.0,191880.0,566160.0,2021,249693.0,2.2674243971597123,566.16
14,Norrbotten,25.0,2019.0,73180.0,515540.0,5166.0,43190.0,203140.0,588720.0,2019,250093.0,2.3540043103965327,588.72
15,Halland,13.0,2019.0,67420.0,508360.0,1380.0,60850.0,187970.0,575780.0,2019,333848.0,1.7246770985598237,575.78
16,Västerbotten,24.0,2021.0,52930.0,386740.0,2480.0,52340.0,154900.0,439670.0,2021,274563.0,1.6013446822769273,439.67
17,Orebro,18.0,2021.0,52350.0,430260.0,3764.0,38730.0,244720.0,482610.0,2021,306792.0,1.5730853477274505,482.61
18,Kalmar,8.0,2021.0,49450.0,331060.0,1764.0,102050.0,115960.0,380510.0,2021,247175.0,1.5394356225346415,380.51
19,Halland,13.0,2021.0,49300.0,484390.0,1380.0,57290.0,167720.0,533690.0,2021,340243.0,1.5685554148064766,533.69
20,Västernorrland,22.0,2019.0,46800.0,438250.0,2281.0,68660.0,170580.0,485050.0,2019,245347.0,1.9769958466987572,485.05
21,Orebro,18.0,2019.0,44500.0,523280.0,3764.0,41570.0,244310.0,567780.0,2019,304805.0,1.862764718426535,567.78
22,Västernorrland,22.0,2021.0,41170.0,437240.0,2281.0,73300.0,162990.0,478410.0,2021,244193.0,1.9591470680977752,478.41
23,Dalarna,20.0,2019.0,40700.0,550330.0,6227.0,123510.0,181810.0,591030.0,2019,287966.0,2.052429800740365,591.03
24,Gävleborg,21.0,2021.0,37890.0,159840.0,2183.0,46070.0,76830.0,197730.0,2021,287767.0,0.6871183978704994,197.73
25,Gävleborg,21.0,2019.0,32600.0,159870.0,2183.0,41760.0,71160.0,192470.0,2019,287382.0,0.6697357524131644,192.47
26,Dalarna,20.0,2021.0,20990.0,473100.0,6227.0,64410.0,136790.0,494090.0,2021,288387.0,1.713288046964669,494.09
27,Uppsala,3.0,2019.0,20300.0,1198320.0,380.0,147880.0,362510.0,1218620.0,2019,383713.0,3.175863210263921,1218.62
28,Värmland,17.0,2021.0,20000.0,378330.0,5225.0,64610.0,130860.0,398330.0,2021,283196.0,1.4065523524343564,398.33
29,Värmland,17.0,2019.0,19370.0,351840.0,5225.0,63960.0,129890.0,371210.0,2019,282414.0,1.3144178404753306,371.21
30,Kalmar,8.0,2019.0,16290.0,164430.0,881.0,59800.0,59800.0,180720.0,2019,245446.0,0.7362923005467598,180.72
31,Kronoberg,7.0,2019.0,13730.0,134710.0,781.0,47620.0,54870.0,148440.0,2019,201469.0,0.7367882900098774,148.44
32,Kronoberg,7.0,2021.0,11730.0,128790.0,781.0,40900.0,49800.0,140520.0,2021,203340.0,0.691059309530835,140.52
33,Uppsala,3.0,2021.0,10140.0,1165670.0,380.0,88800.0,338630.0,1175810.0,2021,395026.0,2.976538253178272,1175.81
34,Södermanland,0.0,2019.0,2.0,0.0,0.0,0.0,0.0,0.0,0,297540.0,0.0,0.0
35,Södermanland,0.0,2021.0,2.0,0.0,0.0,0.0,0.0,0.0,0,301801.0,0.0,0.0
36,Gotland,0.0,2019.0,2.0,0.0,0.0,0.0,0.0,0.0,0,59686.0,0.0,0.0
37,Gotland,0.0,2021.0,2.0,0.0,0.0,0.0,0.0,0.0,0,61001.0,0.0,0.0
38,Blekinge,0.0,2021.0,2.0,0.0,0.0,0.0,0.0,0.0,0,158937.0,0.0,0.0
39,Jämtland,0.0,2021.0,2.0,0.0,0.0,0.0,0.0,0.0,0,132054.0,0.0,0.0
40,Jämtland,0.0,2019.0,2.0,0.0,0.0,0.0,0.0,0.0,0,130810.0,0.0,0.0
41,Blekinge,0.0,2019.0,2.0,0.0,0.0,0.0,0.0,0.0,0,159606.0,0.0,0.0
